CSAT Score,Customer Remarks,cleaned_remarks,Sentiment_Vader,Sentiment_TextBlob,Human_Expert,Vader_Correct,TextBlob_Correct
5,Very good,good,positive,positive,positive,1,1
5,Shopzilla app and it's all coustomer care services is very good service provided all time,shopzilla app coustomer care services good service provided time,positive,positive,positive,1,1
1,Very bad,bad,negative,negative,negative,1,1
3,Something,something,neutral,neutral,neutral,1,1
5,All good,good,positive,positive,positive,1,1
5,Good,good,positive,positive,positive,1,1
5,Godd job,godd job,neutral,neutral,positive,0,0
1,Issue not resolved pathetic service,issue not resolved pathetic service,positive,negative,negative,0,1
5,Excellent,excellent,positive,positive,positive,1,1
4,Very good,good,positive,positive,positive,1,1
5,Give proper guidance to the customer,give proper guidance customer,neutral,neutral,negative,0,0
1,Please highlight if the products cannot be returned.,please highlight products not returned,positive,neutral,negative,0,0
1,3000 rupees loss,3000 rupees loss,negative,neutral,negative,1,0
5,Please don't sale any destroy product or cheep product more price.,please sale destroy product cheep product price,negative,negative,negative,1,1
3,I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,disappointed shopzilla issue not resolved customer care executive polite enough though not able resolve issue appalled utter lack responsibility accountability shopzilla providing tracking services,negative,negative,negative,1,1
5,No comments,no comments,negative,neutral,neutral,0,1
5,good ????,good,positive,positive,positive,1,1
5,customer service number plz available,customer service number plz available,positive,positive,neutral,0,0
5,Good,good,positive,positive,positive,1,1
5,Respectful,respectful,positive,positive,positive,1,1
5,Very nice good,nice good,positive,positive,positive,1,1
3,Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue,even guarantee period also contact supplier reduce duration resolve issue,positive,neutral,negative,0,0
5,Thanks,thanks,positive,positive,positive,1,1
5,Try to deliver the product on time,try deliver product time,neutral,neutral,negative,0,0
5,Nice conversation good I will give rating for ?????,nice conversation good give rating,positive,positive,positive,1,1
5,Keep it up Shopzilla,keep shopzilla,neutral,neutral,positive,0,0
5,I am so happy,happy,positive,positive,positive,1,1
1,Very bad agent,bad agent,negative,negative,negative,1,1
2,Ok,ok,positive,positive,positive,1,1
5,Should take action fast..thank u,take action fast thank u,positive,positive,negative,0,0
5,Good talk,good talk,positive,positive,positive,1,1
5,The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind of executive for their customer support service.   bless you dear.,way talked quite appropriate nice well shopzilla hire kind executive customer support service bless dear,positive,positive,positive,1,1
4,"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",please pack products actually customers ordered otherwise time us shopzilla,positive,neutral,negative,0,0
5,Thanks,thanks,positive,positive,positive,1,1
5,Mr   was very helpful,mr helpful,positive,neutral,positive,1,0
5,"Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the late feedback. Bhai please call me.",thank much sir solving issue bhai please highlight concern bhai sorry late feedback bhai please call,positive,negative,positive,1,0
5,Good,good,positive,positive,positive,1,1
5,Thankyou,thankyou,neutral,neutral,positive,0,0
1,I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,selected english language preference goes hindi channel customer service executive understand english properly,neutral,neutral,negative,0,0
5,Nice,nice,positive,positive,positive,1,1
5,"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",please give chance local shop company using name shopzilla giving worst products sell products like myntra myntra always send products,positive,negative,negative,0,1
5,Thank you   for your valuable time & support,thank valuable time support,positive,neutral,positive,1,0
5,Good night,good night,positive,positive,positive,1,1
5,No,no,negative,neutral,neutral,0,1
5,Thank you so much,thank much,positive,positive,positive,1,1
1,?? no,no,negative,neutral,neutral,0,1
5,Please provide customer support in regional language like Bengali,please provide customer support regional language like bengali,positive,neutral,neutral,0,1
1,Delete in Shopzilla account,delete shopzilla account,neutral,neutral,negative,0,0
5,Next time better,next time better,positive,positive,positive,1,1
1,Very poor service and support,poor service support,negative,negative,negative,1,1
5,Thanks for understanding my problem and helping me out,thanks understanding problem helping,positive,positive,positive,1,1
5,Nk,nk,neutral,neutral,neutral,1,1
1,Noise watch not restart,noise watch not restart,neutral,neutral,negative,0,0
1,No any response my orderVery bad costumer service,no response ordervery bad costumer service,negative,negative,negative,1,1
1,Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug,small product take much time order ariving 2 aug suddanly change 5 aug,neutral,negative,negative,0,1
1,Reten,reten,neutral,neutral,neutral,1,1
4,Nice,nice,positive,positive,positive,1,1
5,Good,good,positive,positive,positive,1,1
1,Call disconnect and not provide information proper,call disconnect not provide information proper,neutral,neutral,negative,0,0
4,My issue is not resolved from yesterday.this is not a good thing.if customer issue is not solved quickly then why we don't do shopping from other shopping app where our issue is solved quickly,issue not resolved yesterday not good thing customer issue not solved quickly shopping shopping app issue solved quickly,negative,positive,negative,1,0
5,Everything is good ??,everything good,positive,positive,positive,1,1
1,Wrong Product received.,wrong product received,negative,negative,negative,1,1
5,Good communication skills,good communication skills,positive,positive,positive,1,1
5,Thanks ??,thanks,positive,positive,positive,1,1
1,Worst Shopzilla customer service. Shopzilla shouldn't cancel order without ack from customer and also there's no compensation for customer satisfiaction. it makes us to move out from Shopzilla.,worst shopzilla customer service shopzilla cancel order without ack customer also no compensation customer satisfiaction makes us move shopzilla,negative,negative,negative,1,1
5,I am waiting second item today because today evening my flight please solve that today thanks,waiting second item today today evening flight please solve today thanks,positive,positive,neutral,0,0
5,Nothing to say thanks for solving my issue,nothing say thanks solving issue,negative,positive,positive,0,1
