Customer Remarks,CSAT Score,cleaned_remarks
Very good,5,good
Shopzilla app and it's all coustomer care services is very good service provided all time,5,shopzilla app coustomer care services good service provided time
Very bad,1,bad
Something ,3,something
All good,5,good
Good ,5,good
Godd job,5,godd job
Issue not resolved pathetic service,1,issue not resolved pathetic service
Excellent ,5,excellent
Very good ,4,good
Give proper guidance to the customer ,5,give proper guidance customer
Please highlight if the products cannot be returned.,1,please highlight products not returned
3000 rupees loss ,1,3000 rupees loss
Please don't sale any destroy product or cheep product more price. ,5,please sale destroy product cheep product price
I am very disappointed with Shopzilla.The issue was not resolved.The customer care executive was polite enough though he was not able to resolve the issue.But I am appalled at the utter lack of responsibility and accountability of Shopzilla in providing tracking services.,3,disappointed shopzilla issue not resolved customer care executive polite enough though not able resolve issue appalled utter lack responsibility accountability shopzilla providing tracking services
No comments ,5,no comments
  good ????,5,good
customer service number plz available,5,customer service number plz available
Good,5,good
Respectful ,5,respectful
Very nice good,5,nice good
Even the guarantee period also you have to contact the supplier to reduce the duration of resolve the issue ,3,even guarantee period also contact supplier reduce duration resolve issue
Thanks ,5,thanks
Try to deliver the product on time ,5,try deliver product time
Nice conversation good I will give rating for ?????,5,nice conversation good give rating
Keep it up Shopzilla ,5,keep shopzilla
I am so happy ,5,happy
Very bad agent,1,bad agent
Ok,2,ok
Should take action fast..thank u,5,take action fast thank u
Good talk,5,good talk
The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind of executive for their customer support service.   bless you dear.,5,way talked quite appropriate nice well shopzilla hire kind executive customer support service bless dear
"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",4,please pack products actually customers ordered otherwise time us shopzilla
Thanks ,5,thanks
Mr   was very helpful ,5,mr helpful
"Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the late feedback. Bhai please call me.",5,thank much sir solving issue bhai please highlight concern bhai sorry late feedback bhai please call
Good ,5,good
Thankyou ,5,thankyou
I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,1,selected english language preference goes hindi channel customer service executive understand english properly
Nice ,5,nice
"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",5,please give chance local shop company using name shopzilla giving worst products sell products like myntra myntra always send products
Thank you   for your valuable time & support ,5,thank valuable time support
Good night,5,good night
No,5,no
Thank you so much ,5,thank much
?? no,1,no
Please provide customer support in regional language like Bengali ,5,please provide customer support regional language like bengali
Delete in Shopzilla account ,1,delete shopzilla account
Next time better ,5,next time better
Very poor service and support ,1,poor service support
Thanks for understanding my problem and helping me out ,5,thanks understanding problem helping
Nk,5,nk
Noise watch not restart,1,noise watch not restart
No any response my orderVery bad costumer service,1,no response ordervery bad costumer service
Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug,1,small product take much time order ariving 2 aug suddanly change 5 aug
Reten,1,reten
Nice ,4,nice
Good ,5,good
Call disconnect and not provide information proper,1,call disconnect not provide information proper
My issue is not resolved from yesterday.this is not a good thing.if customer issue is not solved quickly then why we don't do shopping from other shopping app where our issue is solved quickly ,4,issue not resolved yesterday not good thing customer issue not solved quickly shopping shopping app issue solved quickly
Everything is good ??,5,everything good
Wrong Product received.,1,wrong product received
Good communication skills ,5,good communication skills
Thanks ??,5,thanks
Worst Shopzilla customer service. Shopzilla shouldn't cancel order without ack from customer and also there's no compensation for customer satisfiaction. it makes us to move out from Shopzilla.,1,worst shopzilla customer service shopzilla cancel order without ack customer also no compensation customer satisfiaction makes us move shopzilla
I am waiting second item today because today evening my flight please solve that today thanks ,5,waiting second item today today evening flight please solve today thanks
Nothing to say thanks for solving my issue,5,nothing say thanks solving issue
"Shopzilla customer service executive   was very helpful,I appreciate her to good future ahead in your company.",5,shopzilla customer service executive helpful appreciate good future ahead company
No,5,no
Thankyou so much ,5,thankyou much
Nyc talkng,5,nyc talkng
Thanks ,5,thanks
"You have played around with this order. Without taking customers concern, how can you plan the resolution/pick-up of the products? Don't you have brain to check with the customers availability? Also, no courtesy to atleast reach customer and apologize for the mess created by Shopzilla due to systems failure. Order placed on 8 July and 19 July damaged product delivered. I'm still awaiting for the resolution and refund.",1,played around order without taking customers concern plan resolution pick products brain check customers availability also no courtesy atleast reach customer apologize mess created shopzilla due systems failure order placed 8 july 19 july damaged product delivered still awaiting resolution refund
Excellent ,5,excellent
Very nice ,4,nice
Good ,5,good
Bot is very annoying,4,bot annoying
Ok,5,ok
Have faith in coustomar ,5,faith coustomar
One side nit warning ,1,one side nit warning
They put my call on hold but after sometime they disconnected without any information.,1,put call hold sometime disconnected without information
Please solve the queries,5,please solve queries
No,1,no
She is very good. If she need to switch the job ask her to contact me.,5,good need switch job ask contact
Item are too delay of delivery date,4,item delay delivery date
10 days order not supply &no payment refund,1,10 days order not supply no payment refund
Best ,5,best
"Idiotic customer care executives, no solution from your end since April 28 th, call disconnected from the executive end",1,idiotic customer care executives no solution end since april 28 th call disconnected executive end
My issue paylater bill not submited so i talk customer  suppprt nd my issue solve in just min thnx Shopzilla,5,issue paylater bill not submited talk customer suppprt nd issue solve min thnx shopzilla
Problems and concern's Good Understanding and solved.,4,problems concern good understanding solved
My problem is not yet solved ,3,problem not yet solved
"I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didn't get picked up till 31st july.  And I was consoled to wait only 24 hours for 5 days after talking to the costumer care, even after that no one came for pickup, I felt very sad seeing the return policy of Shopzilla.  That's why I canceled myself last night, first time this happened to me ??",1,ordered sleeper delivered 22nd july like quality refunded last date pick product refund 25th july product get picked till 31st july consoled wait 24 hours 5 days talking costumer care even no one came pickup felt sad seeing return policy shopzilla canceled last night first time happened
Awful customer support ever,1,awful customer support ever
Good job ??,5,good job
Happy ,5,happy
  happy costumer support ,5,happy costumer support
U cal display ur customers support number4 help any customers problem But no display customers care number,4,u cal display ur customers support number4 help customers problem no display customers care number
After delivery of the product take responsibility of the items.,1,delivery product take responsibility items
Interaction was awesome but policy is very bad can't unblock my account pay later,5,interaction awesome policy bad unblock account pay later
Reduce time,3,reduce time
Kindly resolve all of your server related issues to help with real time data.,3,kindly resolve server related issues help real time data
Very good,5,good
Make it easy to reach to executive ,5,make easy reach executive
Excellent service ??,5,excellent service
poor customer service,1,poor customer service
Happy,4,happy
Very good working ,5,good working
Make calling more accessible and easily approachable,5,make calling accessible easily approachable
Everything is ok ??,5,everything ok
peoblem not solve,1,peoblem not solve
Over all very good ,4,good
Very good ,5,good
Very good nice bro ,5,good nice bro
Good support  ,5,good support
Good ,4,good
Bist gadnig ,5,bist gadnig
Shopzilla team very good team ,5,shopzilla team good team
Good ,5,good
Failure is the only word for Shopzilla ,1,failure word shopzilla
Very slow and lots of doubts the representative had. Many things on grocery doesn't get returned and only refund is available she said.,3,slow lots doubts representative many things grocery get returned refund available said
Process gap in Executive,1,process gap executive
Make sure correct orders get delivered ,5,make sure correct orders get delivered
Thanks ,5,thanks
Not at all happy with Shopzilla worst experience till date.   your customer representative said that phone exchange cannot be done due logistics issue and reason is not mentioned. If problem is from Shopzilla end then why end consumer has to bear consequences. Need to improve customer service and transparency in policies,3,not happy shopzilla worst experience till date customer representative said phone exchange not done due logistics issue reason not mentioned problem shopzilla end end consumer bear consequences need improve customer service transparency policies
You may need to have frequent conversations with the new startups which are selling products on your platform. You may need to have track on their support / service related issues. ,5,may need frequent conversations new startups selling products platform may need track support service related issues
Refund policy,5,refund policy
"It will be good, if the customer support had a first hand information and provide to the customer immediately.",4,good customer support first hand information provide customer immediately
"The voice connectivity was extremely poor with a lot of echo, automatic repeat of words, digital disturbance noises & jitters.",5,voice connectivity extremely poor lot echo automatic repeat words digital disturbance noises jitters
Very poor ,1,poor
The executive was very polite and addressed all my concerns made sure to check-in and see if everything was resolved. It wasgood service. Thank you.,5,executive polite addressed concerns made sure check see everything resolved wasgood service thank
Outstanding ??,5,outstanding
Thank you for understanding my problem and give the solution on the same time?,5,thank understanding problem give solution time
"Very helpful agent , the Team Managers should get more agent like her ",5,helpful agent team managers get agent like
While any issue we need to contact customer service it's be busy ..pls be in app itself to ....it's be very easy and comfortable ,5,issue need contact customer service busy pls app easy comfortable
wrong product delivered.  i am scared to make further orders on Shopzilla.,5,wrong product delivered scared make orders shopzilla
Well ? done,5,well done
Nice,5,nice
For all excutive Customer support always ready.,3,excutive customer support always ready
Not supportive customer care,1,not supportive customer care
Your return policy is very bad scant shopping by Shopzilla in future,5,return policy bad scant shopping shopzilla future
very helpful ,5,helpful
Tv farzi sab  ,1,tv farzi sab
Thank you ,5,thank
Very good ,4,good
Nice,5,nice
No,5,no
Thank you,5,thank
Our return request are getting auto canceled three times.  Please avoid this refund the amount.,4,return request getting auto canceled three times please avoid refund amount
Im happy with customer service...thanks,5,im happy customer service thanks
Best experience provided by Shopzilla customer service ,5,best experience provided shopzilla customer service
"It was difficult to hear the staff , either the microphone was not efficiently working or there was a network issue .",5,difficult hear staff either microphone not efficiently working network issue
Osm call support ,5,osm call support
"Before delivery check all products properly.do not delivered wrong item ,like defective, broken, Because I have ordered allmost 50 order but few orders delivered properly.others defective or after using sometime they not working properly.",5,delivery check products properly not delivered wrong item like defective broken ordered allmost 50 order orders delivered properly others defective using sometime not working properly
Good job,5,good job
I talk to Shopzilla staff before some time but they are very rude but when I talk this time to Shopzilla staff and she is very sweet and understanding and i love her nature thanku for being very kind and sweet.,5,talk shopzilla staff time rude talk time shopzilla staff sweet understanding love nature thanku kind sweet
Query not solved,1,query not solved
A customer should be able to change his/her registered mobile number even when the old number is lost.,5,customer able change registered mobile number even old number lost
Every time they make fool of us,1,every time make fool us
Thank you Miss   for resolving my issue. ,5,thank miss resolving issue
He is really nice and solved my problem very nicely .. thank you so much ,5,really nice solved problem nicely thank much
Sheenesh handling my problem well if I can say something this is it,5,sheenesh handling problem well say something
Good working Shopzilla team,5,good working shopzilla team
"Return request was done by me but your delivery partner was not picked up the order, and my request of return was automatically cancelled by Shopzilla. Is not good thing for customer like me and other one. Please make sure that type of issues are not occur again and again.",4,return request done delivery partner not picked order request return automatically cancelled shopzilla not good thing customer like one please make sure type issues not occur
"I haven't received the Product, still the delivery boy has shown delivered. See now the communication gap and the status updated.",1,received product still delivery boy shown delivered see communication gap status updated
